id,dateAdded,,name,,brand,categories,,,keys,manufacturer,,reviews.date,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,,,reviews.rating,,reviews.text,,,,price
1,2024-04-25,,Canon EOS R5,,Canon,Cameras,,,"Canon EOS R5, latest model",Canon,,2024-04-26,2024-04-26,FALSE,TRUE,,,4,,Review for Canon EOS R5: Excellent product,,,,946.5
2,2024-04-14,,Fitbit Charge 5,,Fitbit,Wearables,,,"Fitbit Charge 5, latest model",Fitbit,,2024-04-30,2024-04-30,TRUE,TRUE,,,2,,Review for Fitbit Charge 5: Not up to the mark,,,,139.61
3,2024-04-25,,Sony PlayStation 5,,Sony,Gaming,,,"Sony PlayStation 5, latest model",Sony,,2024-04-06,2024-04-06,FALSE,TRUE,,,1,,Review for Sony PlayStation 5: Not up to the mark,,,,87.48
4,2024-01-09,,Fujifilm X-T4,,Fujifilm,Cameras,,,"Fujifilm X-T4, latest model",Fujifilm,,2024-04-24,2024-04-24,FALSE,TRUE,,,1,,Review for Fujifilm X-T4: Not up to the mark,,,,872.95
5,2024-04-07,,Ecobee Smart Thermostat Premium,,Ecobee,Smart Home,,,"Ecobee Smart Thermostat Premium, latest model",Ecobee,,2024-04-04,2024-04-04,FALSE,FALSE,,,5,,Review for Ecobee Smart Thermostat Premium: Excellent product,,,,1647.0
6,2024-03-17,,Surface Laptop,,Microsoft,Computers,,,"Microsoft Surface Laptop 4, latest model",Microsoft,,2024-04-30,2024-04-30,FALSE,FALSE,,,1,,Review for Microsoft Surface Laptop 4: Not up to the mark,,,,1594.22
7,2024-03-10,,Amazfit Bip U Pro,,Amazfit,Wearables,,,"Amazfit Bip U Pro, latest model",Amazfit,,2024-04-22,2024-04-22,FALSE,FALSE,,,1,,Review for Amazfit Bip U Pro: Not up to the mark,,,,1685.33
8,2024-04-10,,Microsoft Xbox Series X,,Microsoft,Gaming,,,"Microsoft Xbox Series X, latest model",Microsoft,,2024-04-25,2024-04-25,TRUE,FALSE,,,3,,Review for Microsoft Xbox Series X: Not up to the mark,,,,888.57
9,2024-03-07,,Lenovo ThinkPad X1 Carbon,,Lenovo,Computers,,,"Lenovo ThinkPad X1 Carbon, latest model",Lenovo,,2024-04-13,2024-04-13,FALSE,FALSE,,,1,,Review for Lenovo ThinkPad X1 Carbon: Not up to the mark,,,,289.07
10,2024-04-24,,Microsoft Surface Laptop 4,,Microsoft,Computers,,,"Microsoft Surface Laptop 4, latest model",Microsoft,,2024-04-12,2024-04-12,TRUE,FALSE,,,3,,Review for Microsoft Surface Laptop 4: Not up to the mark,,,,1798.57
